WBS 编号,标题,开始,结束,时间（小时）,持续时间,已分配,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
57,5.6,flinksql向导模支持配置化,2023/8/28 8:00,2023/9/1 17:00,40.0,1 周,蜜汁,,,,,
58,1,时间点,2023/7/12 8:00,2023/9/7 17:00,336.0,2 月 2 天,,,,,,
59,1.1,需求范围评审,2023/7/12 8:00,2023/7/12 17:00,8.0,1 天,灵江,,,,,
60,1.2,需求详细评审,2023/7/18 8:00,2023/7/18 17:00,8.0,1 天,灵江,,,,,
61,1.3,技术方案评审,2023/8/7 8:00,2023/8/7 17:00,8.0,1 天,北海,,,,,
62,1.4,测试用例第一次评审,2023/7/28 8:00,2023/7/28 17:00,8.0,1 天,番薯,,,,,
63,1.5,测试用例第二次评审,2023/8/15 8:00,2023/8/15 17:00,8.0,1 天,番薯,,,,,
64,1.6,第一批提测,2023/8/3 8:00,2023/8/3 17:00,8.0,1 天,北海,,,,,
65,1.7,第二次提测,2023/8/18 8:00,2023/8/18 17:00,8.0,1 天,北海,,,,,
66,1.8,Pre-SaaS上线,2023/9/7 8:00,2023/9/7 17:00,8.0,1 天,番薯,,,,,
67,2,第一批开发,2023/7/24 8:00,2023/8/2 17:00,64.0,1 周 3 天,,,,,,
68,2.1,新增oushu目标表,2023/7/24 8:00,2023/7/26 17:00,24.0,3 天,,,,,,
69,2.1.1,【后端】,2023/7/24 8:00,2023/7/25 17:00,16.0,2 天,二十,,,,,
70,2.1.2,【前端】,2023/7/26 8:00,2023/7/26 17:00,8.0,1 天,奇铭,,,,,
71,2.2,starrocks结果表支持更新模式,2023/7/26 8:00,2023/7/27 12:00,12.0,1 天 4 小时,,,,,,
72,2.2.1,【后端】,2023/7/26 8:00,2023/7/26 17:00,8.0,1 天,二十,,,,,
73,2.2.2,【前端】,2023/7/27 8:00,2023/7/27 12:00,4.0,4 小时,奇铭,,,,,
74,2.2.3,【FlinkX】,2023/7/26 8:15,2023/7/27 8:15,8.0,1 天,六六,,,,,
75,2.3,向导模式各种数据源开放自定义参数配置,2023/7/24 8:00,2023/7/27 17:00,32.0,4 天,,,,,,
76,2.3.1,【后端】,2023/7/27 8:00,2023/7/27 17:00,8.0,1 天,二十,,,,,
77,2.3.2,【前端】,2023/7/24 8:00,2023/7/25 17:00,16.0,2 天,奇铭,,,,,
78,2.4,源表新增upsert kafka数据源,2023/7/25 8:00,2023/7/28 17:00,32.0,4 天,,,,,,
79,2.4.1,【FlinkX】,2023/7/27 8:00,2023/7/28 17:00,16.0,2 天,渡劫,,,,,
80,2.4.2,【后端】,2023/7/25 8:00,2023/7/27 17:00,24.0,3 天,水饺,,,,,
81,2.4.3,【前端】,2023/7/27 13:00,2023/7/28 17:00,12.0,1 天 4 小时,奇铭,,,,,
82,2.5,日志打印中的业务数据问题,2023/7/24 8:00,2023/7/24 17:00,8.0,1 天,,,,,,
83,2.5.1,【FlinkX】,2023/7/24 8:00,2023/7/24 17:00,8.0,1 天,先醒,,,,,
